Brand,Model,Units,Value (PKR)
DIGIT,C2 2.0,1,"1,907"
DIGIT,D1 2.4,1,"2,325"
E TACHI,IPRO MAX,2,"7,200"
HMD,AURA2 4+2,1,"23,250"
HONOR,X5C+ 4+128,1,"25,461"
HONOR,X8D 8+256,1,"66,500"
INFINIX,HT60 PRO,2,"109,200"
INFINIX,HT60I 6+128,3,"132,735"
INFINIX,NT60 8+256,1,"80,000"
INFINIX,NT60 PRO,1,"105,000"
INFINIX,SM20 4+64,2,"60,315"
ITEL,2166IT,3,"7,035"
ITEL,A100C 2+64,5,"92,650"
ITEL,A100C 4+128,8,"207,560"
ITEL,A100C 4+64,4,"81,540"
ITEL,CITY200 4+,5,"139,200"
ITEL,IT2181,3,"7,050"
ITEL,IT5032,6,"16,800"
ITEL,M450,8,"26,240"
ITEL,MAGIC4,2,"6,400"
ITEL,NEO X30+,1,"4,300"
MI,A5 4+128MI,1,"31,000"
MI,A7 PRO 4+128,1,"34,810"
MI,A7 PRO 4+64,1,"31,987"
NOKIA,105 CLASSI,28,"83,108"
NOKIA,105 PURE,3,"7,896"
NOKIA,130MUSIC,1,"6,110"
NOKIA,150 MUSIC,2,"11,844"
NOKIA,N 110,3,"14,397"
NOKIA,N106,19,"75,208"
NOKIA,N230,1,"12,220"
NOKIA,N5310,2,"18,800"
OPPO,A6C 4+64,5,"182,500"
OPPO,A6S 8+256,2,"137,582"
OPPO,A6S PRO,1,"92,351"
OPPO,RENO15F,1,"107,000"
Q MOBILE,Q CLASSIC,2,"4,680"
Q MOBILE,Q6303,1,"3,150"
Q MOBILE,QPRIME,2,"5,760"
REALME,60X 4+64,1,"27,050"
REALME,C100I 4+64,1,"31,705"
REALME,NT70 4+128R,1,"35,775"
SAMSUNG,A07 4+128,4,"130,050"
SAMSUNG,A07 4+64,9,"247,500"
SAMSUNG,A07 6+128,2,"77,000"
SAMSUNG,A17 8+256,4,"232,000"
SEGO,SG NT70 4+6,2,"38,840"
SEGO,SG SM10,1,"16,500"
SEGO,SHARK 6+128,2,"48,000"
SEGO,V101 SG,6,"11,100"
TABS,VISTA 4+128,1,"33,000"
TECNO,CAM50 8+,1,"79,362"
TECNO,CAM50 PRO,1,"83,587"
TECNO,GO3 4+64,4,"117,240"
TECNO,SP40 PRO,1,"59,000"
TECNO,SP40 PRO+,1,"58,958"
TECNO,SP50 6+128,2,"88,136"
USED,I NT30,1,"20,000"
USED,I NT40 PRO,1,"50,000"
USED,I S8 PRO,1,"19,500"
USED,O 11F,1,"48,800"
USED,O 13F,1,"60,000"
USED,O A5 PRO,1,"39,000"
USED,O A5 U,3,"78,000"
USED,O A6 PRO,1,"71,000"
USED,O A6K,1,"44,000"
USED,R 12C,1,"17,000"
USED,R 14C,1,"25,200"
USED,R A3,1,"17,000"
USED,R C51,1,"22,000"
USED,R C65 8+256,1,"32,000"
USED,R NT50,1,"15,500"
USED,RL C85,1,"42,500"
USED,S A04,1,"89,000"
USED,S A07,1,"35,500"
USED,S A15,1,"40,000"
USED,S A16 U,1,"35,000"
USED,S A25,1,"42,000"
USED,S A33,1,"37,000"
USED,S A73,1,"45,800"
USED,T 40PRO+,1,"47,000"
USED,T CAM40,1,"50,000"
USED,V V50LITE,1,"71,000"
USED,V V60 LITE,1,"75,000"
USED,V Y17S,1,"21,500"
USED,V Y31D,1,"60,000"
USED,V Y400,1,"55,000"
USED,Y21D  6GB,1,"37,500"
VILLAON,V200S,5,"9,375"
VIVO,Y05 4+128,12,"523,200"
VIVO,Y05 4+64,7,"272,300"
VIVO,Y31D 8+128,2,"117,000"
VIVO,Y31D 8+256,2,"153,000"
VIVO,Y500 8+256,1,"90,000"
VOICE,FLEXI V,10,"19,500"
VOICE,THUNDER,8,"23,112"
VOICE,V BOLD,9,"16,731"
VOICE,V GLOW,10,"23,490"
ZTE,A35E 2+64,2,"34,800"
ZTE,A36 4+64,1,"20,300"
ZTE,V60D 8+256,1,"29,000"
